# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	max(T)
1             	2.979986e+02
2             	2.975415e+02
3             	2.977593e+02
4             	2.978641e+02
5             	2.980743e+02
6             	2.982805e+02
7             	2.984813e+02
8             	2.986776e+02
9             	2.988695e+02
10            	2.990562e+02
11            	2.992377e+02
12            	2.994143e+02
13            	2.995862e+02
14            	2.997536e+02
15            	2.999168e+02
16            	3.000756e+02
17            	3.002302e+02
18            	3.003808e+02
19            	3.005275e+02
20            	3.006705e+02
21            	3.008100e+02
22            	3.009460e+02
23            	3.010786e+02
24            	3.012079e+02
25            	3.013339e+02
26            	3.014569e+02
27            	3.015769e+02
28            	3.016940e+02
29            	3.018082e+02
30            	3.019198e+02
31            	3.020287e+02
32            	3.021351e+02
33            	3.022391e+02
34            	3.023407e+02
35            	3.024401e+02
36            	3.025371e+02
37            	3.026320e+02
38            	3.027248e+02
39            	3.028156e+02
40            	3.029043e+02
41            	3.029911e+02
42            	3.030761e+02
43            	3.031592e+02
44            	3.032406e+02
45            	3.033202e+02
46            	3.033982e+02
47            	3.034745e+02
48            	3.035493e+02
49            	3.036226e+02
50            	3.036943e+02
51            	3.037647e+02
52            	3.038336e+02
53            	3.039011e+02
54            	3.039673e+02
55            	3.040322e+02
56            	3.040959e+02
57            	3.041583e+02
58            	3.042195e+02
59            	3.042795e+02
60            	3.043383e+02
61            	3.043961e+02
62            	3.044527e+02
63            	3.045083e+02
64            	3.045629e+02
65            	3.046165e+02
66            	3.046690e+02
67            	3.047206e+02
68            	3.047712e+02
69            	3.048208e+02
70            	3.048695e+02
71            	3.049174e+02
72            	3.049643e+02
73            	3.050104e+02
74            	3.050556e+02
75            	3.051000e+02
76            	3.051436e+02
77            	3.051863e+02
78            	3.052283e+02
79            	3.052696e+02
80            	3.053101e+02
81            	3.053499e+02
82            	3.053890e+02
83            	3.054274e+02
84            	3.054651e+02
85            	3.055022e+02
86            	3.055386e+02
87            	3.055744e+02
88            	3.056096e+02
89            	3.056442e+02
90            	3.056782e+02
91            	3.057116e+02
92            	3.057445e+02
93            	3.057769e+02
94            	3.058087e+02
95            	3.058400e+02
96            	3.058708e+02
97            	3.059011e+02
98            	3.059309e+02
99            	3.059602e+02
100           	3.059891e+02
101           	3.060176e+02
102           	3.060455e+02
103           	3.060731e+02
104           	3.061002e+02
105           	3.061269e+02
106           	3.061532e+02
107           	3.061791e+02
108           	3.062047e+02
109           	3.062298e+02
110           	3.062545e+02
111           	3.062789e+02
112           	3.063030e+02
113           	3.063267e+02
114           	3.063500e+02
115           	3.063730e+02
116           	3.063956e+02
