# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	volAverage(T)
1             	2.973338e+02
2             	2.972422e+02
3             	2.974734e+02
4             	2.975559e+02
5             	2.977295e+02
6             	2.978607e+02
7             	2.980083e+02
8             	2.981439e+02
9             	2.982804e+02
10            	2.984116e+02
11            	2.985402e+02
12            	2.986652e+02
13            	2.987872e+02
14            	2.989060e+02
15            	2.990219e+02
16            	2.991350e+02
17            	2.992453e+02
18            	2.993530e+02
19            	2.994583e+02
20            	2.995611e+02
21            	2.996617e+02
22            	2.997600e+02
23            	2.998562e+02
24            	2.999502e+02
25            	3.000422e+02
26            	3.001322e+02
27            	3.002203e+02
28            	3.003065e+02
29            	3.003909e+02
30            	3.004735e+02
31            	3.005544e+02
32            	3.006336e+02
33            	3.007112e+02
34            	3.007872e+02
35            	3.008617e+02
36            	3.009348e+02
37            	3.010064e+02
38            	3.010766e+02
39            	3.011454e+02
40            	3.012130e+02
41            	3.012792e+02
42            	3.013443e+02
43            	3.014080e+02
44            	3.014706e+02
45            	3.015320e+02
46            	3.015923e+02
47            	3.016515e+02
48            	3.017097e+02
49            	3.017667e+02
50            	3.018227e+02
51            	3.018777e+02
52            	3.019317e+02
53            	3.019846e+02
54            	3.020367e+02
55            	3.020877e+02
56            	3.021379e+02
57            	3.021871e+02
58            	3.022354e+02
59            	3.022828e+02
60            	3.023294e+02
61            	3.023751e+02
62            	3.024200e+02
63            	3.024641e+02
64            	3.025073e+02
65            	3.025498e+02
66            	3.025915e+02
67            	3.026324e+02
68            	3.026725e+02
69            	3.027120e+02
70            	3.027507e+02
71            	3.027887e+02
72            	3.028260e+02
73            	3.028627e+02
74            	3.028988e+02
75            	3.029342e+02
76            	3.029689e+02
77            	3.030031e+02
78            	3.030367e+02
79            	3.030697e+02
80            	3.031022e+02
81            	3.031341e+02
82            	3.031655e+02
83            	3.031964e+02
84            	3.032268e+02
85            	3.032567e+02
86            	3.032862e+02
87            	3.033152e+02
88            	3.033437e+02
89            	3.033719e+02
90            	3.033995e+02
91            	3.034268e+02
92            	3.034536e+02
93            	3.034801e+02
94            	3.035061e+02
95            	3.035318e+02
96            	3.035570e+02
97            	3.035819e+02
98            	3.036064e+02
99            	3.036306e+02
100           	3.036544e+02
101           	3.036779e+02
102           	3.037010e+02
103           	3.037238e+02
104           	3.037463e+02
105           	3.037684e+02
106           	3.037903e+02
107           	3.038118e+02
108           	3.038331e+02
109           	3.038540e+02
110           	3.038746e+02
111           	3.038950e+02
112           	3.039150e+02
113           	3.039348e+02
114           	3.039543e+02
115           	3.039736e+02
116           	3.039926e+02
117           	3.040113e+02
118           	3.040297e+02
119           	3.040479e+02
120           	3.040659e+02
121           	3.040836e+02
122           	3.041011e+02
123           	3.041184e+02
124           	3.041354e+02
125           	3.041522e+02
126           	3.041688e+02
127           	3.041852e+02
128           	3.042014e+02
129           	3.042174e+02
130           	3.042331e+02
131           	3.042487e+02
132           	3.042640e+02
133           	3.042792e+02
134           	3.042942e+02
135           	3.043090e+02
136           	3.043236e+02
137           	3.043381e+02
138           	3.043524e+02
139           	3.043665e+02
140           	3.043804e+02
141           	3.043942e+02
142           	3.044079e+02
143           	3.044213e+02
144           	3.044347e+02
145           	3.044478e+02
146           	3.044609e+02
147           	3.044737e+02
148           	3.044864e+02
149           	3.044990e+02
150           	3.045114e+02
151           	3.045237e+02
152           	3.045359e+02
153           	3.045479e+02
154           	3.045598e+02
155           	3.045716e+02
156           	3.045833e+02
157           	3.045948e+02
158           	3.046063e+02
159           	3.046176e+02
160           	3.046288e+02
161           	3.046398e+02
162           	3.046508e+02
163           	3.046616e+02
164           	3.046724e+02
165           	3.046830e+02
166           	3.046935e+02
167           	3.047039e+02
168           	3.047142e+02
169           	3.047245e+02
170           	3.047346e+02
171           	3.047446e+02
172           	3.047546e+02
173           	3.047645e+02
174           	3.047743e+02
175           	3.047840e+02
176           	3.047936e+02
177           	3.048031e+02
178           	3.048125e+02
179           	3.048218e+02
180           	3.048311e+02
181           	3.048403e+02
182           	3.048494e+02
183           	3.048585e+02
184           	3.048674e+02
185           	3.048763e+02
186           	3.048851e+02
187           	3.048939e+02
188           	3.049026e+02
189           	3.049112e+02
190           	3.049198e+02
191           	3.049283e+02
192           	3.049367e+02
193           	3.049451e+02
194           	3.049534e+02
195           	3.049617e+02
196           	3.049698e+02
197           	3.049779e+02
198           	3.049860e+02
199           	3.049940e+02
200           	3.050019e+02
201           	3.050098e+02
202           	3.050177e+02
203           	3.050255e+02
204           	3.050332e+02
205           	3.050409e+02
206           	3.050485e+02
207           	3.050561e+02
208           	3.050636e+02
209           	3.050711e+02
210           	3.050786e+02
211           	3.050859e+02
212           	3.050933e+02
213           	3.051006e+02
214           	3.051079e+02
215           	3.051151e+02
216           	3.051223e+02
217           	3.051294e+02
218           	3.051365e+02
219           	3.051436e+02
220           	3.051506e+02
221           	3.051576e+02
222           	3.051646e+02
223           	3.051715e+02
224           	3.051783e+02
225           	3.051852e+02
226           	3.051919e+02
227           	3.051987e+02
228           	3.052054e+02
229           	3.052121e+02
230           	3.052187e+02
231           	3.052253e+02
232           	3.052318e+02
233           	3.052383e+02
234           	3.052448e+02
235           	3.052512e+02
236           	3.052576e+02
237           	3.052640e+02
238           	3.052703e+02
239           	3.052767e+02
240           	3.052829e+02
241           	3.052892e+02
242           	3.052954e+02
243           	3.053016e+02
244           	3.053078e+02
245           	3.053139e+02
246           	3.053200e+02
247           	3.053261e+02
248           	3.053321e+02
249           	3.053381e+02
250           	3.053441e+02
251           	3.053501e+02
252           	3.053560e+02
253           	3.053619e+02
254           	3.053678e+02
255           	3.053737e+02
256           	3.053795e+02
257           	3.053853e+02
258           	3.053911e+02
259           	3.053969e+02
260           	3.054026e+02
261           	3.054083e+02
262           	3.054140e+02
263           	3.054197e+02
264           	3.054254e+02
265           	3.054310e+02
266           	3.054366e+02
267           	3.054422e+02
268           	3.054478e+02
269           	3.054533e+02
270           	3.054588e+02
271           	3.054643e+02
272           	3.054698e+02
273           	3.054753e+02
274           	3.054808e+02
275           	3.054862e+02
276           	3.054916e+02
277           	3.054970e+02
278           	3.055024e+02
279           	3.055078e+02
280           	3.055131e+02
281           	3.055185e+02
282           	3.055238e+02
283           	3.055291e+02
284           	3.055343e+02
285           	3.055396e+02
286           	3.055448e+02
287           	3.055500e+02
288           	3.055552e+02
289           	3.055604e+02
290           	3.055656e+02
291           	3.055708e+02
292           	3.055759e+02
293           	3.055810e+02
294           	3.055861e+02
295           	3.055912e+02
296           	3.055962e+02
297           	3.056013e+02
298           	3.056063e+02
299           	3.056113e+02
300           	3.056163e+02
301           	3.056213e+02
302           	3.056262e+02
303           	3.056312e+02
304           	3.056361e+02
305           	3.056411e+02
306           	3.056460e+02
307           	3.056508e+02
308           	3.056557e+02
309           	3.056606e+02
310           	3.056654e+02
311           	3.056702e+02
312           	3.056750e+02
313           	3.056798e+02
314           	3.056846e+02
315           	3.056893e+02
316           	3.056940e+02
317           	3.056988e+02
318           	3.057035e+02
319           	3.057082e+02
320           	3.057129e+02
321           	3.057175e+02
322           	3.057222e+02
323           	3.057268e+02
324           	3.057315e+02
325           	3.057361e+02
326           	3.057407e+02
327           	3.057453e+02
328           	3.057498e+02
329           	3.057544e+02
330           	3.057589e+02
331           	3.057635e+02
332           	3.057680e+02
333           	3.057725e+02
334           	3.057770e+02
335           	3.057814e+02
336           	3.057859e+02
337           	3.057903e+02
338           	3.057948e+02
339           	3.057992e+02
340           	3.058036e+02
341           	3.058079e+02
342           	3.058123e+02
343           	3.058167e+02
344           	3.058210e+02
345           	3.058253e+02
346           	3.058296e+02
347           	3.058339e+02
348           	3.058382e+02
349           	3.058425e+02
350           	3.058467e+02
351           	3.058510e+02
352           	3.058552e+02
353           	3.058594e+02
354           	3.058636e+02
355           	3.058678e+02
356           	3.058720e+02
357           	3.058762e+02
358           	3.058803e+02
359           	3.058845e+02
360           	3.058886e+02
361           	3.058927e+02
362           	3.058968e+02
363           	3.059009e+02
364           	3.059050e+02
365           	3.059090e+02
366           	3.059131e+02
367           	3.059171e+02
368           	3.059211e+02
369           	3.059251e+02
370           	3.059291e+02
371           	3.059331e+02
372           	3.059371e+02
373           	3.059410e+02
374           	3.059450e+02
375           	3.059489e+02
376           	3.059528e+02
377           	3.059567e+02
378           	3.059606e+02
379           	3.059645e+02
380           	3.059683e+02
381           	3.059722e+02
382           	3.059760e+02
383           	3.059798e+02
384           	3.059836e+02
385           	3.059874e+02
386           	3.059912e+02
387           	3.059950e+02
388           	3.059987e+02
389           	3.060025e+02
390           	3.060062e+02
391           	3.060099e+02
392           	3.060136e+02
393           	3.060173e+02
394           	3.060210e+02
395           	3.060247e+02
396           	3.060283e+02
397           	3.060320e+02
398           	3.060356e+02
399           	3.060392e+02
400           	3.060428e+02
401           	3.060464e+02
402           	3.060500e+02
403           	3.060536e+02
404           	3.060571e+02
405           	3.060607e+02
406           	3.060642e+02
407           	3.060677e+02
408           	3.060712e+02
409           	3.060747e+02
410           	3.060782e+02
411           	3.060817e+02
412           	3.060851e+02
413           	3.060886e+02
414           	3.060920e+02
415           	3.060954e+02
416           	3.060988e+02
417           	3.061022e+02
418           	3.061056e+02
419           	3.061090e+02
420           	3.061124e+02
421           	3.061157e+02
422           	3.061190e+02
423           	3.061224e+02
424           	3.061257e+02
425           	3.061290e+02
426           	3.061323e+02
427           	3.061356e+02
428           	3.061389e+02
429           	3.061421e+02
430           	3.061454e+02
431           	3.061486e+02
432           	3.061519e+02
433           	3.061551e+02
434           	3.061583e+02
435           	3.061615e+02
436           	3.061647e+02
437           	3.061678e+02
438           	3.061710e+02
439           	3.061742e+02
440           	3.061773e+02
441           	3.061804e+02
442           	3.061836e+02
443           	3.061867e+02
444           	3.061898e+02
445           	3.061928e+02
446           	3.061959e+02
447           	3.061990e+02
448           	3.062020e+02
449           	3.062051e+02
450           	3.062081e+02
451           	3.062111e+02
452           	3.062141e+02
453           	3.062171e+02
454           	3.062201e+02
455           	3.062231e+02
456           	3.062261e+02
457           	3.062290e+02
458           	3.062320e+02
459           	3.062349e+02
460           	3.062378e+02
461           	3.062407e+02
462           	3.062436e+02
463           	3.062465e+02
464           	3.062494e+02
465           	3.062523e+02
466           	3.062551e+02
467           	3.062579e+02
468           	3.062608e+02
469           	3.062636e+02
470           	3.062664e+02
471           	3.062692e+02
472           	3.062720e+02
473           	3.062748e+02
474           	3.062775e+02
475           	3.062803e+02
476           	3.062830e+02
477           	3.062858e+02
478           	3.062885e+02
479           	3.062912e+02
480           	3.062939e+02
481           	3.062966e+02
482           	3.062993e+02
483           	3.063020e+02
484           	3.063047e+02
485           	3.063073e+02
486           	3.063100e+02
487           	3.063126e+02
488           	3.063152e+02
489           	3.063178e+02
490           	3.063205e+02
491           	3.063231e+02
492           	3.063257e+02
493           	3.063282e+02
494           	3.063308e+02
495           	3.063334e+02
496           	3.063359e+02
497           	3.063385e+02
498           	3.063410e+02
499           	3.063435e+02
500           	3.063461e+02
501           	3.063486e+02
502           	3.063511e+02
503           	3.063535e+02
504           	3.063560e+02
505           	3.063585e+02
506           	3.063610e+02
507           	3.063634e+02
508           	3.063659e+02
509           	3.063683e+02
510           	3.063707e+02
511           	3.063731e+02
512           	3.063755e+02
513           	3.063779e+02
514           	3.063803e+02
515           	3.063827e+02
516           	3.063850e+02
517           	3.063874e+02
518           	3.063898e+02
519           	3.063921e+02
520           	3.063944e+02
521           	3.063967e+02
522           	3.063991e+02
523           	3.064014e+02
524           	3.064037e+02
525           	3.064059e+02
526           	3.064082e+02
527           	3.064105e+02
528           	3.064127e+02
529           	3.064150e+02
530           	3.064172e+02
531           	3.064195e+02
532           	3.064217e+02
533           	3.064239e+02
534           	3.064261e+02
535           	3.064283e+02
536           	3.064305e+02
537           	3.064327e+02
538           	3.064348e+02
539           	3.064370e+02
540           	3.064392e+02
541           	3.064413e+02
542           	3.064434e+02
543           	3.064456e+02
544           	3.064477e+02
545           	3.064498e+02
546           	3.064519e+02
547           	3.064540e+02
548           	3.064561e+02
549           	3.064582e+02
550           	3.064602e+02
551           	3.064623e+02
552           	3.064644e+02
553           	3.064664e+02
554           	3.064684e+02
555           	3.064705e+02
556           	3.064725e+02
557           	3.064745e+02
558           	3.064765e+02
559           	3.064785e+02
560           	3.064805e+02
561           	3.064825e+02
562           	3.064845e+02
563           	3.064864e+02
564           	3.064884e+02
565           	3.064903e+02
566           	3.064923e+02
567           	3.064942e+02
568           	3.064961e+02
569           	3.064980e+02
570           	3.065000e+02
571           	3.065019e+02
572           	3.065037e+02
573           	3.065056e+02
574           	3.065075e+02
575           	3.065094e+02
576           	3.065113e+02
577           	3.065131e+02
578           	3.065150e+02
579           	3.065168e+02
580           	3.065186e+02
581           	3.065205e+02
582           	3.065223e+02
583           	3.065241e+02
584           	3.065259e+02
585           	3.065277e+02
586           	3.065295e+02
587           	3.065313e+02
588           	3.065331e+02
589           	3.065348e+02
590           	3.065366e+02
591           	3.065383e+02
592           	3.065401e+02
593           	3.065418e+02
594           	3.065436e+02
595           	3.065453e+02
596           	3.065470e+02
597           	3.065487e+02
598           	3.065504e+02
599           	3.065521e+02
600           	3.065538e+02
601           	3.065555e+02
602           	3.065572e+02
603           	3.065589e+02
604           	3.065605e+02
605           	3.065622e+02
606           	3.065639e+02
607           	3.065655e+02
608           	3.065671e+02
609           	3.065688e+02
610           	3.065704e+02
611           	3.065720e+02
612           	3.065736e+02
613           	3.065752e+02
614           	3.065768e+02
615           	3.065784e+02
616           	3.065800e+02
617           	3.065816e+02
618           	3.065832e+02
619           	3.065847e+02
620           	3.065863e+02
621           	3.065878e+02
622           	3.065894e+02
623           	3.065909e+02
624           	3.065925e+02
625           	3.065940e+02
626           	3.065955e+02
627           	3.065970e+02
628           	3.065985e+02
629           	3.066000e+02
630           	3.066015e+02
631           	3.066030e+02
632           	3.066045e+02
633           	3.066059e+02
634           	3.066074e+02
635           	3.066089e+02
636           	3.066103e+02
637           	3.066118e+02
638           	3.066132e+02
639           	3.066146e+02
640           	3.066160e+02
641           	3.066175e+02
642           	3.066189e+02
643           	3.066203e+02
644           	3.066217e+02
645           	3.066230e+02
646           	3.066244e+02
647           	3.066258e+02
648           	3.066272e+02
649           	3.066285e+02
650           	3.066299e+02
651           	3.066312e+02
652           	3.066326e+02
653           	3.066339e+02
654           	3.066352e+02
655           	3.066365e+02
656           	3.066378e+02
657           	3.066391e+02
658           	3.066404e+02
659           	3.066417e+02
660           	3.066430e+02
661           	3.066443e+02
662           	3.066456e+02
663           	3.066468e+02
664           	3.066481e+02
