# Region type : patch heater_to_fins
# Faces  :    241
# Area   :    1.550025e-04
# Time        	areaAverage(T)
1             	2.969000e+02
2             	2.971564e+02
3             	2.973899e+02
4             	2.976155e+02
5             	2.978308e+02
6             	2.980401e+02
7             	2.982430e+02
8             	2.984404e+02
9             	2.986322e+02
10            	2.988187e+02
11            	2.990002e+02
12            	2.991768e+02
13            	2.993486e+02
14            	2.995158e+02
15            	2.996785e+02
16            	2.998369e+02
17            	2.999911e+02
18            	3.001412e+02
19            	3.002875e+02
20            	3.004299e+02
21            	3.005687e+02
22            	3.007040e+02
23            	3.008359e+02
24            	3.009645e+02
25            	3.010899e+02
26            	3.012122e+02
27            	3.013316e+02
28            	3.014481e+02
29            	3.015618e+02
30            	3.016729e+02
31            	3.017813e+02
32            	3.018871e+02
33            	3.019906e+02
34            	3.020916e+02
35            	3.021904e+02
36            	3.022869e+02
37            	3.023812e+02
38            	3.024735e+02
39            	3.025637e+02
40            	3.026519e+02
41            	3.027382e+02
42            	3.028227e+02
43            	3.029053e+02
44            	3.029863e+02
45            	3.030655e+02
46            	3.031430e+02
47            	3.032190e+02
48            	3.032934e+02
49            	3.033662e+02
50            	3.034377e+02
51            	3.035076e+02
52            	3.035762e+02
53            	3.036434e+02
54            	3.037093e+02
55            	3.037739e+02
56            	3.038372e+02
57            	3.038993e+02
58            	3.039602e+02
59            	3.040199e+02
60            	3.040785e+02
61            	3.041360e+02
62            	3.041924e+02
63            	3.042477e+02
64            	3.043020e+02
65            	3.043552e+02
66            	3.044074e+02
67            	3.044587e+02
68            	3.045090e+02
69            	3.045584e+02
70            	3.046068e+02
71            	3.046543e+02
72            	3.047010e+02
73            	3.047468e+02
74            	3.047918e+02
75            	3.048359e+02
76            	3.048793e+02
77            	3.049218e+02
78            	3.049636e+02
79            	3.050046e+02
80            	3.050449e+02
81            	3.050844e+02
82            	3.051233e+02
83            	3.051615e+02
84            	3.051990e+02
85            	3.052359e+02
86            	3.052721e+02
87            	3.053077e+02
88            	3.053427e+02
89            	3.053771e+02
90            	3.054109e+02
91            	3.054442e+02
92            	3.054769e+02
93            	3.055091e+02
94            	3.055407e+02
95            	3.055719e+02
96            	3.056025e+02
97            	3.056327e+02
98            	3.056623e+02
99            	3.056915e+02
100           	3.057203e+02
101           	3.057486e+02
102           	3.057764e+02
103           	3.058038e+02
104           	3.058308e+02
105           	3.058574e+02
106           	3.058836e+02
107           	3.059094e+02
108           	3.059348e+02
109           	3.059598e+02
110           	3.059844e+02
111           	3.060087e+02
112           	3.060326e+02
113           	3.060562e+02
114           	3.060794e+02
115           	3.061023e+02
116           	3.061249e+02
117           	3.061471e+02
118           	3.061690e+02
119           	3.061906e+02
120           	3.062119e+02
121           	3.062329e+02
122           	3.062536e+02
123           	3.062740e+02
124           	3.062941e+02
125           	3.063140e+02
126           	3.063336e+02
127           	3.063529e+02
128           	3.063719e+02
129           	3.063907e+02
130           	3.064092e+02
131           	3.064275e+02
132           	3.064455e+02
133           	3.064633e+02
134           	3.064809e+02
135           	3.064982e+02
136           	3.065153e+02
137           	3.065322e+02
138           	3.065488e+02
139           	3.065653e+02
140           	3.065815e+02
141           	3.065976e+02
142           	3.066134e+02
143           	3.066290e+02
144           	3.066445e+02
145           	3.066597e+02
146           	3.066748e+02
147           	3.066897e+02
148           	3.067044e+02
149           	3.067189e+02
150           	3.067333e+02
151           	3.067475e+02
152           	3.067615e+02
153           	3.067753e+02
154           	3.067890e+02
155           	3.068026e+02
156           	3.068159e+02
157           	3.068292e+02
158           	3.068423e+02
159           	3.068552e+02
160           	3.068680e+02
161           	3.068806e+02
162           	3.068932e+02
163           	3.069055e+02
164           	3.069178e+02
165           	3.069299e+02
166           	3.069419e+02
167           	3.069537e+02
168           	3.069654e+02
169           	3.069770e+02
170           	3.069885e+02
171           	3.069999e+02
172           	3.070111e+02
173           	3.070223e+02
174           	3.070333e+02
175           	3.070442e+02
176           	3.070550e+02
177           	3.070657e+02
178           	3.070763e+02
179           	3.070868e+02
180           	3.070972e+02
181           	3.071075e+02
182           	3.071178e+02
183           	3.071279e+02
184           	3.071379e+02
185           	3.071478e+02
186           	3.071577e+02
187           	3.071674e+02
188           	3.071771e+02
189           	3.071867e+02
190           	3.071962e+02
191           	3.072056e+02
192           	3.072150e+02
193           	3.072243e+02
194           	3.072334e+02
195           	3.072426e+02
196           	3.072516e+02
197           	3.072606e+02
198           	3.072695e+02
199           	3.072783e+02
200           	3.072871e+02
201           	3.072958e+02
202           	3.073044e+02
203           	3.073130e+02
204           	3.073215e+02
205           	3.073299e+02
206           	3.073383e+02
207           	3.073466e+02
208           	3.073549e+02
209           	3.073631e+02
210           	3.073712e+02
211           	3.073793e+02
212           	3.073873e+02
213           	3.073953e+02
214           	3.074032e+02
215           	3.074111e+02
216           	3.074189e+02
217           	3.074267e+02
218           	3.074344e+02
219           	3.074421e+02
220           	3.074497e+02
221           	3.074572e+02
222           	3.074648e+02
223           	3.074722e+02
224           	3.074797e+02
225           	3.074871e+02
226           	3.074944e+02
227           	3.075017e+02
228           	3.075090e+02
229           	3.075162e+02
230           	3.075233e+02
231           	3.075304e+02
232           	3.075375e+02
233           	3.075446e+02
234           	3.075516e+02
