# Region      : all 
# Cells       : 2808
# Volume      : 3.875062e-07
# Time        	max(T)
1             	2.980991e+02
2             	2.983774e+02
3             	2.985994e+02
4             	2.988275e+02
5             	2.990362e+02
6             	2.992424e+02
7             	2.994454e+02
8             	2.996448e+02
9             	2.998383e+02
10            	3.000280e+02
11            	3.002124e+02
12            	3.003918e+02
13            	3.005663e+02
14            	3.007362e+02
15            	3.009014e+02
16            	3.010623e+02
17            	3.012189e+02
18            	3.013714e+02
19            	3.015200e+02
20            	3.016646e+02
21            	3.018055e+02
22            	3.019429e+02
23            	3.020768e+02
24            	3.022073e+02
25            	3.023346e+02
26            	3.024587e+02
27            	3.025799e+02
28            	3.026980e+02
29            	3.028134e+02
30            	3.029260e+02
31            	3.030359e+02
32            	3.031433e+02
33            	3.032481e+02
34            	3.033506e+02
35            	3.034507e+02
36            	3.035485e+02
37            	3.036441e+02
38            	3.037375e+02
39            	3.038289e+02
40            	3.039183e+02
41            	3.040057e+02
42            	3.040912e+02
43            	3.041749e+02
44            	3.042568e+02
45            	3.043370e+02
46            	3.044155e+02
47            	3.044923e+02
48            	3.045676e+02
49            	3.046413e+02
50            	3.047136e+02
51            	3.047844e+02
52            	3.048538e+02
53            	3.049218e+02
54            	3.049885e+02
55            	3.050539e+02
56            	3.051180e+02
57            	3.051808e+02
58            	3.052424e+02
59            	3.053028e+02
60            	3.053621e+02
61            	3.054202e+02
62            	3.054772e+02
63            	3.055332e+02
64            	3.055881e+02
65            	3.056419e+02
66            	3.056947e+02
67            	3.057466e+02
68            	3.057974e+02
69            	3.058473e+02
70            	3.058963e+02
71            	3.059444e+02
72            	3.059916e+02
73            	3.060379e+02
74            	3.060833e+02
75            	3.061280e+02
76            	3.061718e+02
77            	3.062148e+02
78            	3.062570e+02
79            	3.062985e+02
80            	3.063392e+02
81            	3.063792e+02
82            	3.064184e+02
83            	3.064570e+02
84            	3.064949e+02
85            	3.065322e+02
86            	3.065688e+02
87            	3.066048e+02
88            	3.066401e+02
89            	3.066749e+02
90            	3.067090e+02
91            	3.067426e+02
92            	3.067757e+02
93            	3.068082e+02
94            	3.068402e+02
95            	3.068716e+02
96            	3.069025e+02
97            	3.069330e+02
98            	3.069629e+02
99            	3.069924e+02
100           	3.070214e+02
101           	3.070500e+02
102           	3.070781e+02
103           	3.071058e+02
104           	3.071330e+02
105           	3.071598e+02
106           	3.071863e+02
107           	3.072123e+02
108           	3.072379e+02
109           	3.072632e+02
110           	3.072880e+02
111           	3.073125e+02
112           	3.073366e+02
113           	3.073604e+02
114           	3.073839e+02
115           	3.074070e+02
116           	3.074297e+02
117           	3.074521e+02
118           	3.074742e+02
119           	3.074960e+02
120           	3.075175e+02
121           	3.075387e+02
122           	3.075596e+02
123           	3.075801e+02
124           	3.076004e+02
125           	3.076204e+02
126           	3.076402e+02
127           	3.076596e+02
128           	3.076788e+02
129           	3.076978e+02
130           	3.077164e+02
131           	3.077349e+02
132           	3.077531e+02
133           	3.077710e+02
134           	3.077887e+02
135           	3.078062e+02
136           	3.078234e+02
137           	3.078404e+02
138           	3.078572e+02
139           	3.078738e+02
140           	3.078901e+02
141           	3.079063e+02
142           	3.079223e+02
143           	3.079380e+02
144           	3.079536e+02
145           	3.079689e+02
146           	3.079841e+02
147           	3.079991e+02
148           	3.080139e+02
149           	3.080286e+02
150           	3.080430e+02
151           	3.080573e+02
152           	3.080714e+02
153           	3.080854e+02
154           	3.080992e+02
155           	3.081128e+02
156           	3.081263e+02
157           	3.081396e+02
158           	3.081528e+02
159           	3.081658e+02
160           	3.081787e+02
161           	3.081914e+02
162           	3.082040e+02
163           	3.082165e+02
164           	3.082288e+02
165           	3.082410e+02
166           	3.082531e+02
167           	3.082650e+02
168           	3.082768e+02
169           	3.082885e+02
170           	3.083000e+02
171           	3.083115e+02
172           	3.083228e+02
173           	3.083340e+02
174           	3.083451e+02
175           	3.083561e+02
176           	3.083670e+02
177           	3.083777e+02
178           	3.083884e+02
179           	3.083990e+02
180           	3.084094e+02
181           	3.084198e+02
182           	3.084301e+02
183           	3.084402e+02
184           	3.084503e+02
185           	3.084603e+02
186           	3.084702e+02
187           	3.084800e+02
188           	3.084898e+02
189           	3.084994e+02
190           	3.085090e+02
191           	3.085184e+02
192           	3.085278e+02
193           	3.085372e+02
194           	3.085464e+02
195           	3.085556e+02
196           	3.085647e+02
197           	3.085737e+02
198           	3.085827e+02
199           	3.085915e+02
200           	3.086003e+02
201           	3.086091e+02
202           	3.086178e+02
203           	3.086264e+02
204           	3.086349e+02
205           	3.086434e+02
206           	3.086518e+02
207           	3.086602e+02
208           	3.086685e+02
209           	3.086767e+02
210           	3.086849e+02
211           	3.086930e+02
