# Region      : all 
# Cells       : 2808
# Volume      : 3.875062e-07
# Time        	volAverage(T)
1             	2.977306e+02
2             	2.979915e+02
3             	2.982161e+02
4             	2.984419e+02
5             	2.986536e+02
6             	2.988620e+02
7             	2.990629e+02
8             	2.992589e+02
9             	2.994492e+02
10            	2.996345e+02
11            	2.998146e+02
12            	2.999899e+02
13            	3.001604e+02
14            	3.003264e+02
15            	3.004880e+02
16            	3.006452e+02
17            	3.007983e+02
18            	3.009474e+02
19            	3.010926e+02
20            	3.012341e+02
21            	3.013719e+02
22            	3.015063e+02
23            	3.016373e+02
24            	3.017650e+02
25            	3.018896e+02
26            	3.020111e+02
27            	3.021297e+02
28            	3.022455e+02
29            	3.023585e+02
30            	3.024688e+02
31            	3.025765e+02
32            	3.026817e+02
33            	3.027845e+02
34            	3.028849e+02
35            	3.029831e+02
36            	3.030790e+02
37            	3.031728e+02
38            	3.032644e+02
39            	3.033541e+02
40            	3.034418e+02
41            	3.035277e+02
42            	3.036116e+02
43            	3.036938e+02
44            	3.037743e+02
45            	3.038530e+02
46            	3.039302e+02
47            	3.040057e+02
48            	3.040797e+02
49            	3.041522e+02
50            	3.042232e+02
51            	3.042928e+02
52            	3.043610e+02
53            	3.044278e+02
54            	3.044934e+02
55            	3.045576e+02
56            	3.046206e+02
57            	3.046824e+02
58            	3.047430e+02
59            	3.048024e+02
60            	3.048607e+02
61            	3.049179e+02
62            	3.049740e+02
63            	3.050290e+02
64            	3.050830e+02
65            	3.051360e+02
66            	3.051879e+02
67            	3.052389e+02
68            	3.052890e+02
69            	3.053381e+02
70            	3.053863e+02
71            	3.054336e+02
72            	3.054800e+02
73            	3.055256e+02
74            	3.055704e+02
75            	3.056143e+02
76            	3.056574e+02
77            	3.056997e+02
78            	3.057413e+02
79            	3.057821e+02
80            	3.058222e+02
81            	3.058616e+02
82            	3.059003e+02
83            	3.059383e+02
84            	3.059756e+02
85            	3.060123e+02
86            	3.060484e+02
87            	3.060838e+02
88            	3.061187e+02
89            	3.061529e+02
90            	3.061866e+02
91            	3.062197e+02
92            	3.062523e+02
93            	3.062843e+02
94            	3.063158e+02
95            	3.063468e+02
96            	3.063774e+02
97            	3.064074e+02
98            	3.064369e+02
99            	3.064660e+02
100           	3.064946e+02
101           	3.065228e+02
102           	3.065505e+02
103           	3.065778e+02
104           	3.066047e+02
105           	3.066312e+02
106           	3.066572e+02
107           	3.066829e+02
108           	3.067082e+02
109           	3.067331e+02
110           	3.067577e+02
111           	3.067819e+02
112           	3.068057e+02
113           	3.068292e+02
114           	3.068523e+02
115           	3.068751e+02
116           	3.068976e+02
117           	3.069197e+02
118           	3.069416e+02
119           	3.069631e+02
120           	3.069843e+02
121           	3.070052e+02
122           	3.070258e+02
123           	3.070462e+02
124           	3.070662e+02
125           	3.070860e+02
126           	3.071055e+02
127           	3.071247e+02
128           	3.071437e+02
129           	3.071624e+02
130           	3.071808e+02
131           	3.071991e+02
132           	3.072170e+02
133           	3.072348e+02
134           	3.072522e+02
135           	3.072695e+02
136           	3.072866e+02
137           	3.073034e+02
